z_Rp,density_g_cm3,pressure_dyn_cm2,temperature_K,tau,velocity_km_s
-23.570381231671554,3.548350250341819e-20,5.743437197015422e-07,253114.92189202513,2.9716274745916646e-07,357.3198502022269
-23.49706744868035,3.548350250341819e-20,5.743437197015422e-07,253114.92189202513,2.9716274745916646e-07,357.3198502022269
-23.423753665689148,3.548350250341819e-20,5.743437197015422e-07,253114.92189202513,2.9716274745916646e-07,357.3198502022269
-23.35043988269795,3.548350250341819e-20,5.743437197015422e-07,253114.92189202513,2.9716274745916646e-07,357.3198502022269
-23.27712609970674,3.548350250341819e-20,5.743437197015422e-07,253114.92189202513,2.9716274745916646e-07,357.3198502022269
-23.203812316715542,3.548350250341819e-20,5.743437197015422e-07,253114.92189202513,2.9716274745916646e-07,357.3198502022269
-23.13049853372434,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-23.057184750733136,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.983870967741936,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.910557184750733,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.83724340175953,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.76392961876833,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.690615835777123,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.617302052785924,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.54398826979472,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.470674486803517,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.397360703812318,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.32404692082111,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.25073313782991,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.177419354838708,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.104105571847505,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-22.030791788856305,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-21.957478005865102,3.541626113149485e-20,5.725223401021783e-07,252791.275112929,3.1768018285127335e-07,357.33547376614945
-21.8841642228739,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.8108504398827,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.737536656891493,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.664222873900293,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.59090909090909,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.517595307917887,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.444281524926684,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.370967741935484,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.29765395894428,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.224340175953078,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.151026392961874,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.077712609970675,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-21.00439882697947,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-20.93108504398827,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-20.857771260997065,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-20.784457478005866,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-20.711143695014663,3.534936305927594e-20,5.707103665088644e-07,252468.1061685958,3.3760548995156625e-07,357.3513240984175
-20.63782991202346,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-20.564516129032256,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-20.491202346041053,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-20.417888563049853,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-20.34457478005865,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-20.271260997067447,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-20.197947214076244,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-20.124633431085044,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-20.05131964809384,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.978005865102638,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.904692082111435,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.831378299120235,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.758064516129032,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.68475073313783,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.611436950146626,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.538123167155423,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.464809384164223,3.528250829634124e-20,5.689042307302686e-07,252145.98961286875,3.5696977157674936e-07,357.3675005645178
-19.39149560117302,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-19.318181818181817,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-19.244868035190613,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-19.171554252199414,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-19.09824046920821,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-19.024926686217007,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-18.951612903225804,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-18.878299120234605,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-18.8049853372434,3.520132683836574e-20,5.667120923154102e-07,251753.66398852976,3.7566330205013776e-07,357.38723666243664
-18.7316715542522,3.518685056631507e-20,5.663215066498572e-07,251683.65489325524,3.849258646170791e-07,357.3912757545759
-18.658357771260995,3.518685056631507e-20,5.663215066498572e-07,251683.65489325524,3.849258646170791e-07,357.3912757545759
-18.585043988269792,3.518685056631507e-20,5.663215066498572e-07,251683.65489325524,3.849258646170791e-07,357.3912757545759
-18.511730205278592,3.518685056631507e-20,5.663215066498572e-07,251683.65489325524,3.849258646170791e-07,357.3912757545759
-18.43841642228739,3.518685056631507e-20,5.663215066498572e-07,251683.65489325524,3.849258646170791e-07,357.3912757545759
-18.365102639296186,3.516243591596911e-20,5.65663278648871e-07,251565.67696966865,3.940707239244365e-07,357.3973031260675
-18.291788856304983,3.516243591596911e-20,5.65663278648871e-07,251565.67696966865,3.940707239244365e-07,357.3973031260675
-18.218475073313783,3.516243591596911e-20,5.65663278648871e-07,251565.67696966865,3.940707239244365e-07,357.3973031260675
-18.14516129032258,3.516243591596911e-20,5.65663278648871e-07,251565.67696966865,3.940707239244365e-07,357.3973031260675
