i,theta_y_deg,t_days,t_hours,flux_relative
2.100000000000000000e+01,-2.375000000000000000e+00,-3.224591889479166973e-02,-7.739020534750000735e-01,9.963801558599326702e-01
2.200000000000000000e+01,-2.250000000000000000e+00,-3.054876526874999651e-02,-7.331703664499998885e-01,9.963062218628482292e-01
2.300000000000000000e+01,-2.125000000000000000e+00,-2.885161164270833717e-02,-6.924386794250001476e-01,9.942929529659628729e-01
2.400000000000000000e+01,-2.000000000000000000e+00,-2.715445801666666742e-02,-6.517069924000000736e-01,9.909920113336123659e-01
2.500000000000000000e+01,-1.874999999999999778e+00,-2.545730439062499767e-02,-6.109753053749999996e-01,9.869216332204440167e-01
2.600000000000000000e+01,-1.750000000000000000e+00,-2.376015076458333833e-02,-5.702436183500001476e-01,9.819580003954077041e-01
2.700000000000000000e+01,-1.625000000000000000e+00,-2.206299713854166858e-02,-5.295119313250000737e-01,9.765857131745452335e-01
2.800000000000000000e+01,-1.500000000000000222e+00,-2.036584351250000230e-02,-4.887802443000000552e-01,9.708888867560601099e-01
2.900000000000000000e+01,-1.375000000000000000e+00,-1.866868988645833255e-02,-4.480485572749999812e-01,9.646358470023501663e-01
3.000000000000000000e+01,-1.250000000000000000e+00,-1.697153626041666627e-02,-4.073168702499999627e-01,9.587224548272572644e-01
3.100000000000000000e+01,-1.125000000000000000e+00,-1.527438263437499825e-02,-3.665851832249999442e-01,9.534251721809481328e-01
3.200000000000000000e+01,-1.000000000000000000e+00,-1.357722900833333371e-02,-3.258534962000000368e-01,9.481665516636229585e-01
3.300000000000000000e+01,-8.750000000000000000e-01,-1.188007538229166916e-02,-2.851218091750000738e-01,9.430422545927718003e-01
3.400000000000000000e+01,-7.500000000000001110e-01,-1.018292175625000115e-02,-2.443901221500000276e-01,9.368339600498672981e-01
3.500000000000000000e+01,-6.250000000000000000e-01,-8.485768130208333135e-03,-2.036584351249999814e-01,9.307899706206758106e-01
3.600000000000000000e+01,-5.000000000000000000e-01,-6.788614504166666855e-03,-1.629267481000000184e-01,9.255636503670776616e-01
3.700000000000000000e+01,-3.750000000000000555e-01,-5.091460878125000575e-03,-1.221950610750000138e-01,9.205506461804615626e-01
3.800000000000000000e+01,-2.500000000000000000e-01,-3.394307252083333427e-03,-8.146337405000000920e-02,9.163928497493799563e-01
3.900000000000000000e+01,-1.250000000000000000e-01,-1.697153626041666714e-03,-4.073168702500000460e-02,9.136880146947412573e-01
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.131486042230111400e-01
4.100000000000000000e+01,1.250000000000000000e-01,1.697153626041666714e-03,4.073168702500000460e-02,9.136839045841594897e-01
4.200000000000000000e+01,2.500000000000000000e-01,3.394307252083333427e-03,8.146337405000000920e-02,9.163853798404775208e-01
4.300000000000000000e+01,3.750000000000000555e-01,5.091460878125000575e-03,1.221950610750000138e-01,9.205402375004949622e-01
4.400000000000000000e+01,5.000000000000000000e-01,6.788614504166666855e-03,1.629267481000000184e-01,9.255508020607771114e-01
4.500000000000000000e+01,6.250000000000000000e-01,8.485768130208333135e-03,2.036584351249999814e-01,9.307751622396651658e-01
4.600000000000000000e+01,7.500000000000001110e-01,1.018292175625000115e-02,2.443901221500000276e-01,9.368176688237441763e-01
4.700000000000000000e+01,8.750000000000000000e-01,1.188007538229166916e-02,2.851218091750000738e-01,9.430652987251202379e-01
4.800000000000000000e+01,1.000000000000000000e+00,1.357722900833333371e-02,3.258534962000000368e-01,9.482396549362417382e-01
4.900000000000000000e+01,1.125000000000000000e+00,1.527438263437499825e-02,3.665851832249999442e-01,9.535015669970903218e-01
5.000000000000000000e+01,1.250000000000000000e+00,1.697153626041666627e-02,4.073168702499999627e-01,9.587705422093769636e-01
5.100000000000000000e+01,1.375000000000000000e+00,1.866868988645833255e-02,4.480485572749999812e-01,9.646191408419925173e-01
5.200000000000000000e+01,1.500000000000000222e+00,2.036584351250000230e-02,4.887802443000000552e-01,9.708735907244540053e-01
5.300000000000000000e+01,1.625000000000000000e+00,2.206299713854166858e-02,5.295119313250000737e-01,9.765711077134628937e-01
5.400000000000000000e+01,1.750000000000000000e+00,2.376015076458333833e-02,5.702436183500001476e-01,9.819466306011186418e-01
5.500000000000000000e+01,1.874999999999999778e+00,2.545730439062499767e-02,6.109753053749999996e-01,9.869130111493290558e-01
5.600000000000000000e+01,2.000000000000000000e+00,2.715445801666666742e-02,6.517069924000000736e-01,9.909856794047348094e-01
5.700000000000000000e+01,2.125000000000000000e+00,2.885161164270833717e-02,6.924386794250001476e-01,9.942902214934759009e-01
5.800000000000000000e+01,2.250000000000000000e+00,3.054876526874999651e-02,7.331703664499998885e-01,9.963061365657155388e-01
5.900000000000000000e+01,2.375000000000000000e+00,3.224591889479166973e-02,7.739020534750000735e-01,9.963801558599325592e-01
6.000000000000000000e+01,2.500000000000000000e+00,3.394307252083333254e-02,8.146337404999999254e-01,9.964119690523599582e-01
6.100000000000000000e+01,2.625000000000000000e+00,3.564022614687500229e-02,8.553654275249999994e-01,9.964469590444607894e-01
6.200000000000000000e+01,2.750000000000000000e+00,3.733737977291666510e-02,8.960971145499999624e-01,9.964853213353607186e-01
6.300000000000000000e+01,2.875000000000000000e+00,3.903453339895833485e-02,9.368288015750000364e-01,9.965275787684586550e-01
6.400000000000000000e+01,3.000000000000000444e+00,4.073168702500000460e-02,9.775604886000001104e-01,9.965743425288338120e-01
6.500000000000000000e+01,3.125000000000000000e+00,4.242884065104166741e-02,1.018292175625000073e+00,9.966299414634400833e-01
6.600000000000000000e+01,3.250000000000000000e+00,4.412599427708333716e-02,1.059023862650000147e+00,9.966773561099829815e-01
6.700000000000000000e+01,3.375000000000000000e+00,4.582314790312500691e-02,1.099755549675000221e+00,9.967435241184855466e-01
6.800000000000000000e+01,3.500000000000000000e+00,4.752030152916667666e-02,1.140487236700000295e+00,9.968247084678473202e-01
6.900000000000000000e+01,3.625000000000000444e+00,4.921745515520833253e-02,1.181218923724999925e+00,9.970719080998816652e-01
